sum(PWGTP),SCHL_grouped,PINCP_adjusted
1288,Regular high school diploma,233000
679,Pre-diploma grade,212000
4194,N/A,255000
7970,Masters degree,241000
1101,Masters degree,1159000
737,GED or alternative credential,187000
615,Associates degree,405000
473,Pre-diploma grade,334000
1079,Bachelors degree,728000
807,N/A,397000
32,Associates degree,763000
9441,Associates degree,140000
1840,Bachelors degree,534000
852,Masters degree,741000
10056,GED or alternative credential,90000
4600,Associates degree,232000
198,Associates degree,369000
286,N/A,609000
1584,Masters degree,421000
11,Associates degree,772000
15724,Bachelors degree,249000
360,Regular high school diploma,363000
26,N/A,954000
73,Associates degree,861000
2461,Bachelors degree,358000
48,Pre-degree college,1284000
24,Pre-diploma grade,537000
1687,Pre-degree college,559000
569,Associates degree,559000
1110,Regular high school diploma,466000
3949,Masters degree,280000
1207,GED or alternative credential,237000
33,Pre-diploma grade,600000
746,Pre-degree college,378000
1383,N/A,538000
916,Regular high school diploma,511000
1450,Regular high school diploma,348000
1427,Pre-degree college,417000
987,Pre-degree college,497000
162,Pre-diploma grade,568000
606,N/A,339000
688,Associates degree,328000
1841,Masters degree,571000
1611,Masters degree,672000
733,Regular high school diploma,520000
31,Masters degree,1173000
2805,Masters degree,372000
4857,GED or alternative credential,110000
595,Regular high school diploma,527000
1003,Pre-degree college,617000
889,Bachelors degree,651000
8112,N/A,132000
338,N/A,672000
585,Regular high school diploma,771000
45,Pre-degree college,757000
1636,Masters degree,580000
2460,Pre-degree college,348000
477,Bachelors degree,805000
458,Associates degree,520000
3720,Bachelors degree,469000
1040,Regular high school diploma,464000
402,Bachelors degree,779000
364,Masters degree,1175000
552,Regular high school diploma,369000
2202,Masters degree,645000
2295,Bachelors degree,601000
688,Bachelors degree,739000
1290,Pre-degree college,412000
539,Pre-degree college,532000
11,Masters degree,1215000
906,Pre-degree college,476000
683,N/A,331000
607,Bachelors degree,661000
4811,Pre-diploma grade,-3000
444,N/A,571000
860,Bachelors degree,586000
373,Masters degree,722000
3631,Masters degree,322000
305,Associates degree,466000
1869,Bachelors degree,495000
3227,Bachelors degree,506000
1288,Masters degree,705000
12,Pre-diploma grade,951000
1616,Pre-degree college,279000
3679,Pre-diploma grade,178000
2375,Pre-degree college,233000
101,N/A,702000
14,Associates degree,629000
108,Pre-degree college,904000
779,Regular high school diploma,253000
145,Associates degree,532000
210,Masters degree,837000
586,Regular high school diploma,279000
31,Pre-diploma grade,561000
530,Regular high school diploma,536000
301,Associates degree,426000
337,Masters degree,1125000
47,Bachelors degree,1685000
8,N/A,886000
990,Regular high school diploma,405000
562,Bachelors degree,1108000
691,Pre-diploma grade,239000
453,Regular high school diploma,617000
855,N/A,322000
728,Bachelors degree,795000
92,GED or alternative credential,458000
3982,Masters degree,384000
399,GED or alternative credential,185000
737,N/A,315000
1867,GED or alternative credential,144000
1129,N/A,463000
2072,Masters degree,670000
382,N/A,439000
26,Masters degree,1124000
2140,Masters degree,424000
78,Pre-degree college,682000
389,N/A,490000
941,Associates degree,253000
1056,Pre-diploma grade,175000
4623,Masters degree,315000
479,Pre-diploma grade,290000
1009,Pre-degree college,493000
1435,Regular high school diploma,412000
823,Masters degree,700000
775,N/A,367000
2482,Bachelors degree,543000
1751,GED or alternative credential,150000
2245,Bachelors degree,427000
69,Associates degree,536000
795,Associates degree,355000
1558,Pre-degree college,320000
1450,Bachelors degree,730000
850,Associates degree,236000
959,Associates degree,279000
1021,N/A,353000
564,Regular high school diploma,378000
683,N/A,391000
2527,Bachelors degree,480000
26,GED or alternative credential,628000
289,Pre-diploma grade,418000
95,Associates degree,611000
1801,Pre-diploma grade,223000
503,N/A,455000
2091,Pre-degree college,355000
308,Regular high school diploma,532000
2466,Bachelors degree,555000
367,Masters degree,810000
1756,Regular high school diploma,292000
280,Bachelors degree,826000
956,Regular high school diploma,368000
1290,Bachelors degree,593000
969,Pre-degree college,369000
1483,N/A,325000
1491,Regular high school diploma,250000
816,N/A,643000
385,Pre-diploma grade,199000
264,Pre-degree college,587000
1486,Pre-degree college,253000
472,Pre-degree college,697000
888,Pre-degree college,485000
132,Masters degree,1012000
181,N/A,671000
1785,Masters degree,666000
529,Bachelors degree,680000
131,Associates degree,530000
1647,Regular high school diploma,355000
107,GED or alternative credential,305000
248,Bachelors degree,789000
1310,Masters degree,832000
85,N/A,705000
1165,Pre-degree college,328000
315,Pre-degree college,854000
102,Masters degree,1335000
2692,Bachelors degree,393000
683,Associates degree,320000
181,Pre-diploma grade,386000
1078,Regular high school diploma,328000
44,Pre-diploma grade,646000
472,Bachelors degree,749000
176,Bachelors degree,819000
1014,GED or alternative credential,-8000
1153,Pre-diploma grade,193000
1151,Pre-degree college,527000
1921,Masters degree,398000
76,Pre-degree college,791000
380,Pre-diploma grade,390000
77,Bachelors degree,1082000
666,Bachelors degree,703000
1202,N/A,542000
27,Bachelors degree,1096000
3968,Pre-degree college,250000
670,Regular high school diploma,497000
498,N/A,384000
78,Bachelors degree,961000
1380,GED or alternative credential,165000
104,GED or alternative credential,380000
252,Bachelors degree,966000
226,Bachelors degree,1111000
164,N/A,1159000
96,Pre-diploma grade,658000
308,Masters degree,977000
202,Regular high school diploma,595000
1389,Masters degree,664000
14,Bachelors degree,1027000
71,Pre-diploma grade,594000
1289,Pre-degree college,264000
133,Associates degree,612000
89,N/A,946000
274,Regular high school diploma,588000
200,Bachelors degree,1061000
39,Regular high school diploma,978000
98,Pre-degree college,633000
903,Regular high school diploma,236000
581,Pre-degree college,518000
503,N/A,504000
514,Pre-diploma grade,383000
1102,Associates degree,271000
339,Pre-diploma grade,304000
643,Pre-degree college,514000
1227,Bachelors degree,459000
35,N/A,887000
331,GED or alternative credential,471000
716,Regular high school diploma,559000
270,Pre-degree college,536000
140,N/A,575000
732,Associates degree,348000
647,Masters degree,684000
261,GED or alternative credential,319000
27,Associates degree,630000
426,Associates degree,493000
214,Regular high school diploma,677000
521,Pre-degree college,363000
203,Pre-diploma grade,243000
36,Masters degree,1056000
718,N/A,344000
339,Masters degree,671000
110,Pre-degree college,675000
133,GED or alternative credential,522000
323,Pre-diploma grade,226000
234,Associates degree,527000
278,Associates degree,485000
403,Masters degree,887000
37,Bachelors degree,1113000
104,Masters degree,1384000
318,Bachelors degree,767000
357,N/A,421000
311,N/A,666000
270,Pre-degree college,515000
745,N/A,652000
40,Associates degree,657000
449,Associates degree,368000
1033,Regular high school diploma,417000
60,Associates degree,595000
140,N/A,645000
9,N/A,837000
1739,GED or alternative credential,182000
53,Associates degree,682000
759,Pre-diploma grade,197000
153,Masters degree,1098000
53,GED or alternative credential,472000
793,N/A,438000
636,N/A,478000
26,GED or alternative credential,962000
950,Pre-degree college,511000
155,Pre-diploma grade,402000
175,Bachelors degree,873000
41,Bachelors degree,1266000
269,GED or alternative credential,496000
4,Regular high school diploma,866000
179,Associates degree,363000
524,Associates degree,264000
562,Associates degree,476000
107,Pre-diploma grade,352000
322,Regular high school diploma,515000
381,Pre-degree college,595000
172,N/A,580000
44,Pre-degree college,1086000
146,Pre-degree college,657000
223,Pre-degree college,677000
26,GED or alternative credential,573000
211,Associates degree,514000
94,GED or alternative credential,598000
387,Pre-degree college,612000
77,Pre-diploma grade,525000
524,Bachelors degree,910000
290,Regular high school diploma,426000
153,GED or alternative credential,419000
364,Associates degree,497000
170,Masters degree,1010000
98,Associates degree,697000
608,GED or alternative credential,164000
288,Regular high school diploma,530000
474,Bachelors degree,829000
389,Pre-diploma grade,364000
541,Pre-diploma grade,342000
130,Masters degree,1204000
861,Regular high school diploma,493000
36,Regular high school diploma,675000
181,GED or alternative credential,395000
106,Regular high school diploma,790000
123,Pre-degree college,619000
26,Bachelors degree,1040000
247,Masters degree,886000
710,GED or alternative credential,170000
268,GED or alternative credential,262000
155,GED or alternative credential,306000
14,Pre-diploma grade,894000
107,Masters degree,975000
91,Regular high school diploma,626000
228,Pre-diploma grade,263000
362,N/A,424000
511,Masters degree,799000
168,Associates degree,771000
39,Associates degree,574000
681,Pre-degree college,426000
103,Pre-diploma grade,450000
26,Masters degree,1042000
670,GED or alternative credential,211000
331,N/A,670000
220,Masters degree,897000
93,GED or alternative credential,316000
795,Pre-diploma grade,436000
36,GED or alternative credential,642000
272,Associates degree,378000
383,N/A,500000
940,Pre-degree college,520000
775,Regular high school diploma,264000
121,GED or alternative credential,254000
147,GED or alternative credential,222000
298,Bachelors degree,712000
296,Regular high school diploma,697000
174,Regular high school diploma,587000
24,N/A,909000
531,Pre-diploma grade,443000
137,Pre-degree college,585000
337,Bachelors degree,900000
92,Regular high school diploma,585000
121,GED or alternative credential,430000
184,Pre-diploma grade,396000
57,Associates degree,790000
149,Pre-degree college,630000
19,GED or alternative credential,473000
35,Pre-degree college,891000
27,Masters degree,1528000
30,Masters degree,909000
121,Masters degree,1230000
880,N/A,303000
122,N/A,799000
365,Pre-diploma grade,266000
115,Bachelors degree,892000
130,Masters degree,946000
12,Bachelors degree,1039000
488,Masters degree,753000
227,Pre-diploma grade,499000
41,Pre-degree college,861000
10,Associates degree,1631000
327,Pre-degree college,530000
109,GED or alternative credential,513000
506,Pre-degree college,771000
160,N/A,-10000
466,Bachelors degree,760000
16,Pre-diploma grade,691000
197,Pre-diploma grade,272000
127,GED or alternative credential,404000
67,Masters degree,1045000
58,Pre-diploma grade,847000
302,N/A,665000
159,Bachelors degree,906000
171,Pre-degree college,604000
98,Pre-diploma grade,327000
233,Pre-diploma grade,277000
181,Pre-diploma grade,388000
36,Masters degree,1338000
157,Pre-diploma grade,273000
252,Pre-diploma grade,523000
277,Regular high school diploma,574000
127,Pre-diploma grade,308000
41,Bachelors degree,1248000
734,N/A,340000
200,Pre-diploma grade,349000
365,Bachelors degree,750000
26,Masters degree,1140000
98,Bachelors degree,941000
11,Pre-degree college,943000
52,N/A,1528000
342,Associates degree,511000
248,Regular high school diploma,518000
190,Pre-degree college,588000
146,GED or alternative credential,282000
285,Bachelors degree,797000
47,Associates degree,604000
277,Regular high school diploma,611000
297,Bachelors degree,920000
135,Pre-degree college,629000
33,Masters degree,1064000
110,GED or alternative credential,403000
162,GED or alternative credential,332000
299,Masters degree,-10000
19,GED or alternative credential,650000
103,Pre-diploma grade,656000
19,Masters degree,1015000
32,Masters degree,1081000
6,GED or alternative credential,735000
63,Masters degree,1090000
153,Bachelors degree,1180000
70,Masters degree,1057000
162,GED or alternative credential,489000
86,N/A,684000
57,Associates degree,619000
47,Regular high school diploma,958000
333,Bachelors degree,694000
27,Pre-diploma grade,566000
59,Pre-diploma grade,371000
211,Masters degree,917000
52,Regular high school diploma,629000
18,N/A,853000
321,N/A,481000
140,Masters degree,1024000
368,Bachelors degree,806000
72,N/A,977000
107,Associates degree,587000
205,Masters degree,902000
25,N/A,1093000
10,Associates degree,633000
58,Masters degree,1188000
88,Pre-degree college,928000
21,Pre-degree college,1300000
30,Pre-degree college,763000
430,Associates degree,617000
21,Associates degree,791000
114,Regular high school diploma,689000
121,Pre-diploma grade,432000
111,N/A,832000
259,Regular high school diploma,612000
140,Masters degree,927000
104,Pre-diploma grade,428000
69,Pre-degree college,790000
7,GED or alternative credential,818000
189,Pre-diploma grade,291000
28,Regular high school diploma,682000
10,Pre-degree college,987000
12,Pre-degree college,1274000
9,N/A,1220000
55,Regular high school diploma,633000
86,Masters degree,1107000
37,Masters degree,1047000
19,Pre-diploma grade,688000
208,GED or alternative credential,309000
49,Masters degree,1144000
15,Bachelors degree,-12000
307,Associates degree,338000
53,Bachelors degree,1120000
57,Pre-degree college,788000
20,GED or alternative credential,382000
29,Bachelors degree,1572000
15,Pre-degree college,639000
32,Pre-diploma grade,605000
51,Bachelors degree,963000
129,Regular high school diploma,630000
73,Pre-diploma grade,487000
171,Masters degree,840000
6,Regular high school diploma,715000
10,Associates degree,821000
270,Pre-diploma grade,354000
45,Pre-diploma grade,622000
17,GED or alternative credential,603000
76,Regular high school diploma,821000
19,Masters degree,1316000
30,N/A,902000
21,Pre-diploma grade,1021000
7,Regular high school diploma,928000
117,Pre-diploma grade,406000
44,Pre-degree college,813000
33,GED or alternative credential,434000
7,Associates degree,768000
50,Bachelors degree,1152000
52,Associates degree,518000
177,Bachelors degree,833000
14,Masters degree,1308000
18,N/A,1201000
41,Bachelors degree,1402000
66,Bachelors degree,959000
38,N/A,1224000
75,GED or alternative credential,335000
139,N/A,753000
34,Masters degree,1174000
20,Bachelors degree,1116000
30,Regular high school diploma,932000
27,N/A,-11000
16,GED or alternative credential,608000
27,GED or alternative credential,685000
72,N/A,1663000
8,Regular high school diploma,763000
30,Pre-degree college,986000
116,GED or alternative credential,361000
81,N/A,741000
187,Bachelors degree,1036000
53,Pre-degree college,785000
82,Masters degree,1663000
22,Masters degree,1347000
53,Regular high school diploma,930000
18,Pre-degree college,978000
33,N/A,897000
129,Pre-diploma grade,706000
12,Pre-diploma grade,786000
23,Pre-degree college,781000
206,N/A,664000
24,Pre-degree college,626000
44,Associates degree,588000
16,Masters degree,1070000
7,GED or alternative credential,581000
11,GED or alternative credential,539000
14,N/A,1148000
126,Bachelors degree,863000
12,Masters degree,1480000
38,Pre-degree college,715000
11,Pre-degree college,1172000
21,Associates degree,1276000
13,Masters degree,1220000
13,Associates degree,854000
176,Bachelors degree,849000
17,Associates degree,639000
102,Pre-diploma grade,627000
172,Associates degree,515000
84,Regular high school diploma,785000
10,N/A,1711000
22,Masters degree,1208000
41,Regular high school diploma,772000
74,N/A,729000
8,Associates degree,987000
75,Bachelors degree,1291000
16,Regular high school diploma,943000
38,Pre-diploma grade,408000
97,N/A,700000
18,Associates degree,858000
13,GED or alternative credential,1339000
14,GED or alternative credential,623000
23,GED or alternative credential,618000
117,Pre-degree college,930000
24,GED or alternative credential,435000
85,Pre-degree college,772000
25,N/A,1175000
62,GED or alternative credential,754000
10,Masters degree,1654000
39,Bachelors degree,988000
9,Bachelors degree,1226000
10,Regular high school diploma,788000
21,Regular high school diploma,925000
30,Masters degree,1183000
61,Pre-diploma grade,591000
11,Masters degree,1324000
83,Pre-degree college,689000
22,Associates degree,866000
4,Pre-diploma grade,717000
69,GED or alternative credential,509000
34,GED or alternative credential,413000
50,Regular high school diploma,791000
133,Regular high school diploma,619000
26,Pre-degree college,812000
48,N/A,722000
34,Masters degree,1093000
5,N/A,1408000
55,Pre-degree college,926000
9,Associates degree,1087000
29,Bachelors degree,1386000
1,N/A,1124000
19,N/A,810000
49,Masters degree,1603000
39,Pre-diploma grade,681000
12,Masters degree,1104000
101,Pre-degree college,574000
8,Pre-degree college,1115000
13,Pre-degree college,925000
9,Bachelors degree,1363000
28,GED or alternative credential,1328000
62,Pre-degree college,848000
61,Regular high school diploma,639000
27,Associates degree,813000
28,Associates degree,757000
4,Bachelors degree,1151000
13,Bachelors degree,1533000
35,Pre-diploma grade,798000
13,Bachelors degree,1336000
30,Masters degree,1323000
32,Associates degree,891000
3,Masters degree,1408000
25,Regular high school diploma,879000
23,Masters degree,-11000
14,Regular high school diploma,813000
15,Bachelors degree,999000
8,Masters degree,1345000
152,Masters degree,1114000
20,Associates degree,785000
12,Pre-degree college,1087000
102,N/A,1384000
29,Associates degree,689000
7,Masters degree,1385000
42,Associates degree,585000
21,Pre-degree college,924000
8,Pre-diploma grade,567000
3,Pre-degree college,1329000
53,Bachelors degree,1242000
21,N/A,975000
10,Masters degree,1279000
17,Regular high school diploma,835000
21,Pre-diploma grade,827000
42,Masters degree,1148000
27,Regular high school diploma,781000
122,Masters degree,1201000
5,Associates degree,1359000
197,Pre-diploma grade,409000
61,GED or alternative credential,501000
115,Regular high school diploma,768000
19,GED or alternative credential,820000
12,Bachelors degree,1247000
17,Pre-degree college,1002000
8,Regular high school diploma,657000
39,Masters degree,1286000
20,Masters degree,1022000
28,N/A,1010000
14,Regular high school diploma,1078000
15,GED or alternative credential,709000
4,Pre-diploma grade,876000
13,Regular high school diploma,924000
24,Associates degree,835000
25,Masters degree,1160000
20,Pre-degree college,1298000
24,Associates degree,1065000
14,Associates degree,677000
23,Associates degree,1329000
53,GED or alternative credential,746000
11,N/A,1081000
15,Pre-diploma grade,1025000
16,GED or alternative credential,614000
11,Pre-degree college,835000
11,Masters degree,1407000
14,Pre-degree college,768000
17,GED or alternative credential,411000
16,Pre-diploma grade,780000
19,GED or alternative credential,1043000
25,N/A,1098000
25,N/A,1045000
25,Pre-degree college,968000
21,N/A,927000
3,Associates degree,812000
9,N/A,1204000
1,Pre-diploma grade,923000
4,GED or alternative credential,871000
6,Regular high school diploma,968000
482666,Bachelors degree,45000
80281,Masters degree,98000
579702,Pre-diploma grade,12000
1386103,GED or alternative credential,0
876474,Pre-degree college,36000
311841,Bachelors degree,49000
362739,Bachelors degree,16000
405726,Bachelors degree,70000
924054,Regular high school diploma,18000
710409,Pre-degree college,18000
357712,Associates degree,36000
191801,Pre-degree college,66000
1015535,Regular high school diploma,36000
463277,Pre-degree college,43000
258371,Bachelors degree,37000
16221,Associates degree,123000
970165,Regular high school diploma,1000
716958,Pre-degree college,7000
792354,Regular high school diploma,7000
414299,Bachelors degree,40000
80535,Masters degree,171000
163421,Regular high school diploma,80000
397739,Bachelors degree,34000
53652,Bachelors degree,127000
105786,Pre-degree college,100000
1001029,Pre-degree college,1000
352689,Bachelors degree,9000
41304,Masters degree,140000
33379,GED or alternative credential,89000
30109,Associates degree,128000
153278,Masters degree,33000
177843,GED or alternative credential,17000
20054,Pre-degree college,132000
316278,Pre-diploma grade,31000
112577,GED or alternative credential,20000
361189,Bachelors degree,73000
313097,Pre-diploma grade,27000
515875,Bachelors degree,42000
591948,Bachelors degree,47000
293713,Pre-degree college,67000
467783,Pre-diploma grade,21000
181328,Associates degree,7000
18856,Associates degree,121000
413915,Bachelors degree,104000
146066,Masters degree,94000
90908,GED or alternative credential,4000
413361,Bachelors degree,24000
166861,Regular high school diploma,66000
437,Pre-diploma grade,221000
52028,N/A,25000
661186,Pre-diploma grade,13000
46878,Bachelors degree,237000
375138,Pre-degree college,53000
136508,Masters degree,39000
230869,Associates degree,18000
9415,N/A,188000
117311,Bachelors degree,110000
38782,Masters degree,186000
115558,Regular high school diploma,86000
116929,GED or alternative credential,30000
512284,Bachelors degree,23000
77155,Associates degree,93000
159255,Bachelors degree,122000
378892,Regular high school diploma,53000
215531,Associates degree,1000
63686,Associates degree,100000
88152,Masters degree,117000
1776,Pre-degree college,698000
7076,Pre-degree college,191000
155780,Bachelors degree,90000
66140,N/A,33000
14284,N/A,117000
12691,N/A,208000
125282,GED or alternative credential,8000
67306,Masters degree,208000
200918,Associates degree,43000
104735,Masters degree,25000
10646,Masters degree,271000
44919,Bachelors degree,144000
10647,Pre-diploma grade,118000
29014,N/A,65000
59022,Pre-degree college,128000
18260,Regular high school diploma,123000
279982,Regular high school diploma,67000
160544,Associates degree,67000
20232,Bachelors degree,187000
138020,GED or alternative credential,15000
197106,Pre-degree college,80000
144595,Masters degree,74000
201157,Masters degree,65000
176963,Associates degree,53000
97922,Associates degree,66000
6395,Regular high school diploma,173000
3983,Pre-degree college,215000
148199,Bachelors degree,109000
502313,Bachelors degree,59000
485412,Regular high school diploma,43000
8127,Masters degree,236000
135038,Pre-degree college,93000
108785,Masters degree,137000
12188,Regular high school diploma,132000
1725,N/A,292000
4744,Associates degree,173000
18797,N/A,82000
41271,N/A,39000
103606,Bachelors degree,105000
1000,N/A,497000
60470,GED or alternative credential,63000
107468,GED or alternative credential,35000
154873,Bachelors degree,88000
47435,Masters degree,232000
21195,N/A,137000
42990,Bachelors degree,138000
147445,Pre-degree college,86000
5037,Bachelors degree,603000
5255,N/A,219000
700,Bachelors degree,614000
39785,Bachelors degree,165000
19116,Bachelors degree,170000
11580,N/A,162000
58695,Bachelors degree,150000
25500,N/A,94000
70206,Masters degree,151000
128294,Masters degree,48000
109393,Regular high school diploma,93000
19643,Bachelors degree,190000
60698,Bachelors degree,182000
88203,Masters degree,120000
8341,N/A,140000
26789,Masters degree,219000
19962,Bachelors degree,211000
118788,Bachelors degree,113000
185,Masters degree,858000
52075,Masters degree,188000
74002,Pre-diploma grade,68000
109775,GED or alternative credential,3000
766,Regular high school diploma,463000
76963,Associates degree,86000
2522,Bachelors degree,380000
125867,Masters degree,82000
207932,Pre-diploma grade,46000
5855,Masters degree,464000
18836,Bachelors degree,185000
8002,N/A,172000
750,Bachelors degree,693000
3770,Pre-diploma grade,154000
1450,Bachelors degree,472000
12220,Bachelors degree,222000
6441,Regular high school diploma,169000
5847,Associates degree,205000
29292,GED or alternative credential,61000
10720,Pre-degree college,173000
5066,Associates degree,169000
725,Masters degree,1087000
97301,Masters degree,136000
60904,Masters degree,162000
33287,Regular high school diploma,128000
37223,Pre-diploma grade,72000
81109,Regular high school diploma,100000
39002,Pre-diploma grade,62000
34216,Pre-degree college,119000
4612,Associates degree,180000
632,Pre-degree college,455000
9011,Masters degree,292000
16391,N/A,171000
864,Regular high school diploma,538000
8052,Masters degree,559000
3163,Masters degree,368000
2931,Pre-degree college,257000
2515,Regular high school diploma,313000
1797,GED or alternative credential,166000
3240,Bachelors degree,382000
46713,Pre-diploma grade,78000
11335,Pre-diploma grade,125000
21392,Pre-diploma grade,69000
187,Masters degree,987000
12769,N/A,98000
27945,Bachelors degree,164000
4242,Masters degree,338000
579,Bachelors degree,713000
43067,Masters degree,172000
3757,Bachelors degree,361000
20270,N/A,136000
20885,Regular high school diploma,119000
14006,Masters degree,348000
6066,Masters degree,320000
2847,Bachelors degree,395000
254,Bachelors degree,820000
9408,Masters degree,417000
14492,Bachelors degree,262000
17807,Associates degree,119000
107730,Associates degree,80000
1325,Pre-degree college,478000
5592,Bachelors degree,522000
5747,Bachelors degree,-8000
2009,GED or alternative credential,129000
3818,Masters degree,412000
828,Masters degree,585000
21850,Masters degree,250000
4456,Masters degree,612000
1943,Bachelors degree,403000
297,Associates degree,439000
14126,N/A,120000
6855,Masters degree,253000
22541,Bachelors degree,-2000
18205,Pre-diploma grade,114000
760,Masters degree,768000
1188,Masters degree,588000
944,Pre-diploma grade,159000
288,Associates degree,652000
3334,Bachelors degree,309000
3764,Masters degree,514000
12188,Pre-degree college,177000
1083,N/A,320000
1477,Pre-diploma grade,168000
1289,Bachelors degree,545000
2395,Masters degree,426000
6751,Masters degree,520000
1261,Regular high school diploma,-10000
1016,N/A,511000
951,Pre-degree college,322000
2133,Masters degree,369000
1157,Masters degree,675000
541,GED or alternative credential,216000
680,Associates degree,303000
6139,Masters degree,511000
487,Regular high school diploma,500000
35467,Pre-degree college,121000
5275,Bachelors degree,471000
2285,Masters degree,378000
571,Associates degree,325000
1555,Bachelors degree,556000
1816,Masters degree,587000
8088,Bachelors degree,319000
2089,Bachelors degree,598000
4385,Bachelors degree,254000
6159,Regular high school diploma,180000
22570,Regular high school diploma,121000
1284,Masters degree,619000
22388,N/A,74000
9094,N/A,232000
25547,N/A,48000
5354,Masters degree,527000
4464,Bachelors degree,399000
3842,Masters degree,485000
429,Associates degree,372000
4970,Bachelors degree,332000
1075,GED or alternative credential,155000
1610,Associates degree,255000
5270,Bachelors degree,282000
1123,Bachelors degree,597000
467,Masters degree,785000
247,Associates degree,339000
781,N/A,368000
51,Bachelors degree,882000
2780,N/A,233000
1819,N/A,355000
1039,Masters degree,629000
12268,Masters degree,233000
2892,GED or alternative credential,146000
12026,Masters degree,355000
1804,Regular high school diploma,303000
200,Regular high school diploma,-11000
129,Bachelors degree,888000
1153,Pre-degree college,315000
4735,Bachelors degree,489000
1604,Masters degree,518000
2364,Pre-diploma grade,126000
618,Pre-degree college,652000
2349,Bachelors degree,305000
4078,Bachelors degree,496000
9917,Pre-degree college,205000
7050,Pre-diploma grade,106000
10797,Associates degree,132000
10297,Pre-degree college,169000
1983,Bachelors degree,435000
2362,N/A,236000
1120,Pre-degree college,344000
4453,Masters degree,328000
3793,Bachelors degree,419000
1609,N/A,253000
3622,Bachelors degree,316000
650,Masters degree,689000
73,Pre-degree college,954000
1497,Pre-degree college,540000
7268,Bachelors degree,306000
2222,GED or alternative credential,174000
17,Bachelors degree,1130000
5979,Masters degree,264000
2369,Pre-degree college,238000
32885,Pre-degree college,123000
1923,Masters degree,515000
970,Regular high school diploma,540000
1637,Bachelors degree,509000
132,Associates degree,478000
6941,Masters degree,279000
1847,N/A,417000
9839,Pre-degree college,180000
6,Masters degree,1083000
908,Bachelors degree,709000
877,Masters degree,657000
449,Associates degree,397000
2265,Bachelors degree,473000
170,N/A,604000
7143,Regular high school diploma,177000
954,Masters degree,630000
1153,Pre-degree college,303000
4842,Regular high school diploma,176000
6461,Associates degree,177000
138,Regular high school diploma,571000
419,N/A,697000
1991,Masters degree,530000
1247,Pre-degree college,340000
948,Regular high school diploma,339000
1504,Pre-degree college,353000
144,Regular high school diploma,580000
674,Pre-degree college,504000
4097,Regular high school diploma,191000
573,Pre-degree college,424000
2204,N/A,348000
14182,N/A,151000
392,GED or alternative credential,-7000
8369,Pre-degree college,176000
544,Bachelors degree,636000
224,Pre-degree college,571000
730,Regular high school diploma,367000
386,Associates degree,340000
8190,N/A,186000
617,N/A,405000
173,Pre-degree college,609000
212,N/A,788000
8179,Bachelors degree,754000
4767,Masters degree,493000
25,Pre-diploma grade,804000
3742,GED or alternative credential,145000
69,Pre-diploma grade,541000
935,Masters degree,757000
1237,Regular high school diploma,340000
1330,Regular high school diploma,257000
1442,Pre-diploma grade,161000
2328,N/A,271000
4416,Masters degree,405000
1184,Regular high school diploma,353000
2048,Pre-diploma grade,135000
593,Bachelors degree,711000
1817,Associates degree,238000
999,Regular high school diploma,324000
533,Pre-degree college,421000
657,Regular high school diploma,344000
2541,Masters degree,476000
296,Pre-degree college,664000
967,Pre-degree college,391000
918,N/A,617000
2113,Bachelors degree,602000
715,N/A,426000
525,GED or alternative credential,207000
440,Associates degree,315000
519,Associates degree,331000
4679,Pre-degree college,313000
390,Masters degree,848000
1281,Bachelors degree,650000
157,Regular high school diploma,666000
1116,Regular high school diploma,384000
1193,Masters degree,633000
30,Associates degree,1024000
555,Masters degree,639000
6296,Masters degree,497000
3308,Bachelors degree,335000
3354,Associates degree,191000
4975,Pre-degree college,229000
1242,Pre-degree college,463000
1186,Regular high school diploma,325000
684,Bachelors degree,701000
1937,Bachelors degree,404000
2364,Bachelors degree,430000
854,N/A,412000
1246,N/A,559000
688,N/A,514000
1523,GED or alternative credential,141000
294,Pre-diploma grade,379000
2413,Masters degree,697000
3883,N/A,250000
1044,Pre-degree college,331000
141,Masters degree,1276000
6225,Masters degree,771000
743,Pre-degree college,372000
1833,Bachelors degree,413000
1326,Associates degree,313000
1472,Masters degree,574000
1028,Bachelors degree,608000
3763,Pre-degree college,255000
155,Associates degree,609000
489,Bachelors degree,841000
195,Bachelors degree,864000
943,Masters degree,715000
3903,Masters degree,595000
7727,Masters degree,617000
1581,Pre-degree college,323000
2356,Associates degree,215000
261,GED or alternative credential,246000
427,Regular high school diploma,490000
96,Pre-diploma grade,809000
4128,GED or alternative credential,142000
2901,Associates degree,229000
114,Pre-degree college,666000
287,Pre-diploma grade,669000
1486,Bachelors degree,581000
407,Masters degree,930000
1160,Bachelors degree,573000
692,N/A,338000
863,N/A,485000
2075,Regular high school diploma,229000
856,Masters degree,626000
292,Pre-degree college,705000
1373,Masters degree,604000
50,GED or alternative credential,483000
1165,Regular high school diploma,397000
608,N/A,611000
3844,Masters degree,611000
292,Bachelors degree,769000
622,Masters degree,790000
2051,Masters degree,532000
96,Pre-degree college,934000
1297,Masters degree,772000
1071,N/A,264000
78,GED or alternative credential,276000
446,Pre-diploma grade,252000
388,N/A,574000
79,Regular high school diploma,645000
45,Pre-degree college,741000
1045,N/A,464000
1069,GED or alternative credential,228000
73,N/A,790000
566,Bachelors degree,743000
1334,GED or alternative credential,189000
475,Pre-degree college,500000
732,Masters degree,791000
1650,Bachelors degree,513000
