sum(PWGTP),SCHL_grouped,PINCP_adjusted
106,Associates degree,539000
45,Regular high school diploma,745000
182,N/A,728000
101,GED or alternative credential,527000
1078,Regular high school diploma,473000
621,N/A,480000
552,Regular high school diploma,254000
836,N/A,-1000
107,Pre-diploma grade,535000
14,Bachelors degree,1047000
21,Pre-degree college,1023000
143,Masters degree,880000
106,Bachelors degree,909000
11,Bachelors degree,1148000
185,N/A,661000
182,Pre-diploma grade,247000
362,Bachelors degree,853000
210,Bachelors degree,897000
647,Bachelors degree,705000
252,Pre-diploma grade,297000
203,Masters degree,1113000
79,GED or alternative credential,292000
220,Pre-degree college,701000
179,GED or alternative credential,532000
114,N/A,739000
430,N/A,456000
1164,Regular high school diploma,471000
676,N/A,321000
687,Associates degree,754000
459,Masters degree,764000
107,N/A,680000
28,Associates degree,623000
18,Bachelors degree,1090000
439,Associates degree,603000
106,Pre-diploma grade,389000
30,Pre-diploma grade,856000
522,Associates degree,361000
200,Pre-degree college,581000
399,Regular high school diploma,403000
90,Regular high school diploma,882000
66,N/A,764000
395,Pre-diploma grade,-4000
364,N/A,555000
104,Bachelors degree,1114000
545,Pre-diploma grade,183000
310,Pre-diploma grade,286000
377,GED or alternative credential,405000
341,Bachelors degree,1175000
690,Masters degree,750000
141,GED or alternative credential,485000
288,Masters degree,920000
388,N/A,381000
189,Pre-diploma grade,227000
374,Pre-degree college,472000
169,Associates degree,382000
70,Associates degree,769000
385,Regular high school diploma,754000
264,Pre-diploma grade,512000
52,N/A,873000
549,Pre-degree college,642000
106,Bachelors degree,886000
206,Bachelors degree,729000
158,Regular high school diploma,513000
236,Pre-diploma grade,662000
40,Associates degree,711000
1014,GED or alternative credential,232000
81,Bachelors degree,975000
2,Bachelors degree,1516000
34,Masters degree,1223000
654,Masters degree,767000
606,Pre-degree college,602000
173,Regular high school diploma,649000
149,Pre-diploma grade,351000
659,GED or alternative credential,219000
385,Associates degree,305000
66,Regular high school diploma,614000
46,Associates degree,685000
21,Pre-degree college,1094000
41,N/A,1120000
29,Associates degree,774000
61,Bachelors degree,1140000
112,Pre-degree college,650000
108,Associates degree,608000
181,Bachelors degree,837000
244,Pre-diploma grade,256000
106,Pre-degree college,713000
346,N/A,601000
63,Pre-degree college,608000
258,N/A,703000
152,Regular high school diploma,539000
218,Bachelors degree,-11000
9,Masters degree,1758000
375,Pre-degree college,513000
88,Masters degree,941000
34,Associates degree,933000
550,Pre-degree college,403000
280,N/A,543000
683,Masters degree,712000
28,Pre-degree college,864000
23,Pre-diploma grade,686000
166,Pre-degree college,711000
553,Masters degree,873000
615,Pre-degree college,545000
115,Pre-diploma grade,782000
20,N/A,1656000
249,Pre-degree college,556000
342,Associates degree,380000
50,N/A,789000
244,Regular high school diploma,602000
281,Pre-diploma grade,547000
180,Pre-diploma grade,376000
140,Pre-diploma grade,260000
69,N/A,863000
316,Associates degree,496000
45,Pre-diploma grade,420000
265,N/A,586000
124,Regular high school diploma,597000
139,GED or alternative credential,253000
27,Pre-degree college,1019000
490,Associates degree,316000
368,N/A,582000
469,Associates degree,419000
124,Pre-diploma grade,589000
366,Pre-diploma grade,347000
743,Pre-degree college,522000
127,GED or alternative credential,417000
143,Associates degree,501000
402,GED or alternative credential,355000
153,N/A,-7000
89,Pre-diploma grade,726000
187,Pre-diploma grade,549000
107,Masters degree,988000
35,Pre-degree college,908000
83,Pre-degree college,743000
76,N/A,651000
39,Bachelors degree,840000
423,Associates degree,306000
203,Associates degree,435000
8,Bachelors degree,1201000
30,GED or alternative credential,771000
140,N/A,749000
229,Pre-diploma grade,583000
149,GED or alternative credential,497000
431,Masters degree,694000
161,GED or alternative credential,476000
62,GED or alternative credential,264000
13,Associates degree,940000
174,Bachelors degree,902000
114,Pre-degree college,1156000
92,Regular high school diploma,701000
358,Bachelors degree,1125000
143,GED or alternative credential,412000
9,N/A,1113000
18,Associates degree,989000
49,Pre-degree college,933000
126,Regular high school diploma,501000
39,N/A,988000
88,Regular high school diploma,685000
237,Regular high school diploma,413000
139,Pre-degree college,685000
245,Masters degree,833000
27,Pre-degree college,746000
269,GED or alternative credential,233000
34,Masters degree,1572000
48,Pre-degree college,745000
77,Masters degree,1116000
406,GED or alternative credential,559000
148,GED or alternative credential,520000
35,Masters degree,1431000
211,Bachelors degree,917000
71,Associates degree,735000
9,Associates degree,908000
82,Pre-degree college,653000
24,GED or alternative credential,518000
117,Pre-diploma grade,479000
72,Associates degree,701000
50,Bachelors degree,1528000
75,Associates degree,745000
242,Associates degree,413000
168,Masters degree,1061000
25,Masters degree,1281000
203,Pre-diploma grade,442000
165,Regular high school diploma,545000
235,Pre-diploma grade,294000
57,Regular high school diploma,735000
127,Bachelors degree,1012000
121,N/A,910000
89,GED or alternative credential,697000
12,GED or alternative credential,785000
144,GED or alternative credential,511000
13,Bachelors degree,1081000
16,Bachelors degree,1173000
14,GED or alternative credential,715000
154,Pre-diploma grade,447000
91,Pre-degree college,709000
30,Pre-degree college,1373000
165,Bachelors degree,934000
59,Bachelors degree,1335000
96,GED or alternative credential,271000
11,Pre-degree college,867000
177,Pre-diploma grade,524000
39,Pre-degree college,919000
12,Bachelors degree,1215000
149,Masters degree,1054000
12,Regular high school diploma,945000
72,Pre-degree college,636000
259,N/A,750000
347,GED or alternative credential,320000
41,Pre-diploma grade,621000
473,Masters degree,892000
100,Masters degree,1242000
12,GED or alternative credential,630000
90,Associates degree,642000
82,Bachelors degree,1098000
12,N/A,1036000
30,Pre-diploma grade,1388000
571,Masters degree,1108000
15,Associates degree,1158000
65,Pre-diploma grade,584000
101,Masters degree,1036000
210,Regular high school diploma,598000
59,Masters degree,1291000
26,Pre-degree college,1043000
38,Bachelors degree,1347000
403,Regular high school diploma,634000
55,Pre-degree college,774000
38,N/A,833000
58,GED or alternative credential,493000
292,Bachelors degree,977000
20,Masters degree,999000
23,GED or alternative credential,1172000
11,Associates degree,964000
122,N/A,606000
6,Masters degree,1386000
193,GED or alternative credential,466000
14,GED or alternative credential,619000
60,Masters degree,1290000
41,N/A,806000
5,GED or alternative credential,757000
41,Bachelors degree,1296000
32,Pre-degree college,796000
48,Bachelors degree,1045000
44,N/A,966000
47,GED or alternative credential,363000
31,Pre-degree college,871000
31,Associates degree,912000
137,Pre-diploma grade,259000
10,Masters degree,1283000
23,Associates degree,871000
38,N/A,1227000
75,Masters degree,906000
44,Pre-diploma grade,446000
58,Pre-degree college,634000
12,Associates degree,945000
304,Associates degree,581000
96,Associates degree,618000
16,Bachelors degree,1070000
45,Regular high school diploma,752000
29,Associates degree,597000
214,Masters degree,1402000
27,Masters degree,1227000
261,Regular high school diploma,746000
11,Pre-diploma grade,687000
38,Bachelors degree,1024000
11,Bachelors degree,998000
10,Pre-degree college,1141000
122,Masters degree,1082000
67,Regular high school diploma,903000
100,Regular high school diploma,623000
84,Masters degree,1363000
29,Regular high school diploma,919000
29,Associates degree,1055000
88,Bachelors degree,1230000
14,Pre-degree college,1091000
75,Regular high school diploma,743000
56,GED or alternative credential,328000
31,Bachelors degree,1022000
10,Masters degree,1152000
5,Masters degree,1355000
9,Bachelors degree,1385000
4,GED or alternative credential,514000
26,N/A,906000
7,Associates degree,807000
71,Pre-diploma grade,502000
40,Masters degree,1254000
51,Regular high school diploma,653000
211,Associates degree,403000
25,GED or alternative credential,574000
116,Associates degree,573000
10,Bachelors degree,1200000
106,Pre-degree college,820000
41,GED or alternative credential,378000
5,Pre-degree college,818000
25,Bachelors degree,1015000
111,Associates degree,598000
28,GED or alternative credential,588000
16,GED or alternative credential,612000
7,Bachelors degree,1663000
41,N/A,880000
21,Masters degree,1273000
29,Masters degree,1007000
72,Associates degree,709000
79,N/A,760000
14,Regular high school diploma,818000
42,Bachelors degree,1042000
93,Regular high school diploma,608000
9,Pre-diploma grade,647000
8,Bachelors degree,1093000
20,Masters degree,1151000
12,GED or alternative credential,848000
21,N/A,826000
32,Regular high school diploma,650000
71,GED or alternative credential,629000
18,Masters degree,1387000
22,Associates degree,1166000
25,Masters degree,1157000
117,Regular high school diploma,581000
90,Pre-degree college,649000
14,Pre-degree college,945000
70,GED or alternative credential,464000
15,Masters degree,1186000
18,Masters degree,1597000
29,Pre-degree college,964000
35,Associates degree,653000
129,Pre-diploma grade,784000
30,N/A,1242000
54,Regular high school diploma,744000
34,Pre-diploma grade,747000
7,Pre-degree college,912000
17,Associates degree,1297000
18,Regular high school diploma,1129000
3,Associates degree,882000
10,N/A,1216000
62,Regular high school diploma,-13000
22,GED or alternative credential,536000
37,Bachelors degree,927000
17,N/A,920000
52,Masters degree,1120000
5,Bachelors degree,1345000
17,Bachelors degree,1188000
18,Regular high school diploma,864000
15,Associates degree,614000
26,Regular high school diploma,888000
22,Bachelors degree,1279000
14,Pre-degree college,1420000
67,Masters degree,1013000
55,Regular high school diploma,913000
37,Pre-diploma grade,667000
10,Masters degree,1486000
33,Bachelors degree,1073000
54,GED or alternative credential,626000
11,Masters degree,1766000
27,Regular high school diploma,709000
36,Pre-degree college,913000
183,Pre-degree college,1089000
25,GED or alternative credential,369000
13,Pre-degree college,807000
12,N/A,1040000
27,Associates degree,649000
123,Pre-degree college,693000
15,Pre-degree college,1129000
17,Bachelors degree,1183000
65,Regular high school diploma,1005000
12,N/A,963000
16,Associates degree,693000
10,Bachelors degree,1316000
13,Bachelors degree,954000
10,Masters degree,1717000
21,Bachelors degree,1286000
13,Pre-degree college,1232000
7,Associates degree,628000
15,Pre-degree college,882000
9,Associates degree,650000
