PWGTP,ESR,name,Income
2804,Unemployed/NA,Supplementary Security Income [SSIP],2000
7266,Unemployed/NA,Public Assistance Income [PAP],1000
2719,Unemployed/NA,Public Assistance Income [PAP],9000
5985,Unemployed/NA,Supplementary Security Income [SSIP],6000
1640,Civilian employed,Public Assistance Income [PAP],2000
2178,Unemployed/NA,Supplementary Security Income [SSIP],10000
2279,Civilian employed,Public Assistance Income [PAP],1000
1202,Civilian employed,Public Assistance Income [PAP],1000
1075,Unemployed/NA,Supplementary Security Income [SSIP],17000
1435,Unemployed/NA,Public Assistance Income [PAP],3000
1435,Unemployed/NA,Supplementary Security Income [SSIP],11000
1800,Civilian employed,Public Assistance Income [PAP],5000
1938,Unemployed/NA,Supplementary Security Income [SSIP],12000
1283,Unemployed/NA,Supplementary Security Income [SSIP],13000
1377,Unemployed/NA,Public Assistance Income [PAP],2000
2027,Civilian employed,Public Assistance Income [PAP],1000
1663,Unemployed/NA,Supplementary Security Income [SSIP],3000
1498,Civilian employed,Public Assistance Income [PAP],2000
1463,Unemployed/NA,Supplementary Security Income [SSIP],8000
1337,Civilian employed,Supplementary Security Income [SSIP],10000
1058,Unemployed/NA,Public Assistance Income [PAP],6000
1058,Unemployed/NA,Supplementary Security Income [SSIP],10000
1055,Civilian employed,Public Assistance Income [PAP],2000
1185,Civilian employed,Public Assistance Income [PAP],3000
1773,Unemployed/NA,Public Assistance Income [PAP],1000
1819,Unemployed/NA,Public Assistance Income [PAP],1000
1819,Unemployed/NA,Supplementary Security Income [SSIP],7000
1367,Unemployed/NA,Public Assistance Income [PAP],3000
1367,Unemployed/NA,Supplementary Security Income [SSIP],9000
1072,Unemployed/NA,Supplementary Security Income [SSIP],17000
1016,Civilian employed,Public Assistance Income [PAP],1000
18388,Unemployed/NA,Supplementary Security Income [SSIP],2000
7456,Unemployed/NA,Supplementary Security Income [SSIP],5000
9442,Unemployed/NA,Supplementary Security Income [SSIP],10000
1344,Unemployed/NA,Public Assistance Income [PAP],4000
5301,Unemployed/NA,Supplementary Security Income [SSIP],10000
5360,Unemployed/NA,Public Assistance Income [PAP],2000
10757,Unemployed/NA,Supplementary Security Income [SSIP],7000
5815,Unemployed/NA,Supplementary Security Income [SSIP],10000
1648,Unemployed/NA,Supplementary Security Income [SSIP],1000
1155,Civilian employed,Public Assistance Income [PAP],3000
5825,Unemployed/NA,Supplementary Security Income [SSIP],8000
14249,Unemployed/NA,Supplementary Security Income [SSIP],8000
3028,Unemployed/NA,Supplementary Security Income [SSIP],9000
6139,Unemployed/NA,Supplementary Security Income [SSIP],10000
2166,Unemployed/NA,Supplementary Security Income [SSIP],3000
1277,Unemployed/NA,Supplementary Security Income [SSIP],1000
7608,Unemployed/NA,Supplementary Security Income [SSIP],7000
2474,Unemployed/NA,Supplementary Security Income [SSIP],7000
5162,Unemployed/NA,Supplementary Security Income [SSIP],7000
7109,Unemployed/NA,Supplementary Security Income [SSIP],10000
1405,Unemployed/NA,Supplementary Security Income [SSIP],4000
4835,Unemployed/NA,Supplementary Security Income [SSIP],4000
3073,Unemployed/NA,Supplementary Security Income [SSIP],9000
1491,Unemployed/NA,Public Assistance Income [PAP],1000
3525,Unemployed/NA,Public Assistance Income [PAP],21000
5013,Unemployed/NA,Supplementary Security Income [SSIP],8000
2127,Civilian employed,Public Assistance Income [PAP],1000
4392,Unemployed/NA,Supplementary Security Income [SSIP],11000
1245,Unemployed/NA,Supplementary Security Income [SSIP],14000
1447,Civilian employed,Supplementary Security Income [SSIP],10000
1687,Civilian employed,Public Assistance Income [PAP],1000
1810,Civilian employed,Public Assistance Income [PAP],1000
5163,Unemployed/NA,Supplementary Security Income [SSIP],10000
1497,Unemployed/NA,Supplementary Security Income [SSIP],11000
1373,Unemployed/NA,Supplementary Security Income [SSIP],3000
1925,Civilian employed,Public Assistance Income [PAP],1000
6167,Unemployed/NA,Supplementary Security Income [SSIP],1000
3492,Civilian employed,Public Assistance Income [PAP],1000
1778,Unemployed/NA,Supplementary Security Income [SSIP],15000
1921,Civilian employed,Public Assistance Income [PAP],1000
1639,Civilian employed,Public Assistance Income [PAP],1000
1132,Unemployed/NA,Supplementary Security Income [SSIP],13000
1156,Civilian employed,Supplementary Security Income [SSIP],6000
